title,artist,year,genre,streams_billions
Blinding Lights,The Weeknd,2019,Synth-pop,5.3
Shape of You,Ed Sheeran,2017,Pop,4.8
Perfect,Ed Sheeran,2017,Pop,3.9
Believer,Imagine Dragons,2017,Pop rock,3.8
Heat Waves,Glass Animals,2020,Indie pop,3.7
Yellow,Coldplay,2000,Alternative rock,3.6
Riptide,Vance Joy,2013,Indie folk,3.5
Die With a Smile,Lady Gaga & Bruno Mars,2024,Pop,3.5
Take Me to Church,Hozier,2013,Indie rock,3.4
Die For You,The Weeknd,2016,R&B,3.2
Bohemian Rhapsody,Queen,1975,Rock,3.1
Mr. Brightside,The Killers,2004,Rock,3.0
